광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,2.292530036E9,4.1,4.87135334E8,16.2
강원특별자치도,원주시,2.292530036E9,4.1,5.28835734E8,17.5
강원특별자치도,강릉시,2.292530036E9,4.1,4.47130319E8,14.8
강원특별자치도,동해시,2.292530036E9,4.1,1.62280394E8,5.4
강원특별자치도,태백시,2.292530036E9,4.1,8.6277888E7,2.9
강원특별자치도,속초시,2.292530036E9,4.1,2.19819003E8,7.3
강원특별자치도,삼척시,2.292530036E9,4.1,1.30569884E8,4.3
강원특별자치도,홍천군,2.292530036E9,4.1,1.38115278E8,4.6
강원특별자치도,횡성군,2.292530036E9,4.1,1.01815206E8,3.4
강원특별자치도,영월군,2.292530036E9,4.1,6.1787004E7,2.0
강원특별자치도,평창군,2.292530036E9,4.1,1.22947388E8,4.1
강원특별자치도,정선군,2.292530036E9,4.1,8.0829225E7,2.7
강원특별자치도,철원군,2.292530036E9,4.1,7.4337684E7,2.5
강원특별자치도,화천군,2.292530036E9,4.1,4.7058287E7,1.6
강원특별자치도,양구군,2.292530036E9,4.1,4.0727349E7,1.4
강원특별자치도,인제군,2.292530036E9,4.1,7.9075168E7,2.6
강원특별자치도,고성군,2.292530036E9,4.1,9.0094729E7,3.0
강원특별자치도,양양군,2.292530036E9,4.1,1.16294973E8,3.9
경기도,수원시 장안구,1.3131758308E10,23.5,4.01945822E8,2.0
경기도,수원시 권선구,1.3131758308E10,23.5,4.33081236E8,2.1
경기도,수원시 팔달구,1.3131758308E10,23.5,4.66242388E8,2.3
경기도,수원시 영통구,1.3131758308E10,23.5,5.6606546E8,2.8
경기도,성남시 수정구,1.3131758308E10,23.5,3.58082018E8,1.7
경기도,성남시 중원구,1.3131758308E10,23.5,2.92705847E8,1.4
경기도,성남시 분당구,1.3131758308E10,23.5,1.033325455E9,5.0
경기도,의정부시,1.3131758308E10,23.5,6.21318612E8,3.0
경기도,안양시 만안구,1.3131758308E10,23.5,3.5196951E8,1.7
경기도,안양시 동안구,1.3131758308E10,23.5,4.78660759E8,2.3
경기도,부천시,1.3131758308E10,23.5,1.179048867E9,5.8
경기도,광명시,1.3131758308E10,23.5,4.30477847E8,2.1
경기도,평택시,1.3131758308E10,23.5,6.51860312E8,3.2
경기도,동두천시,1.3131758308E10,23.5,1.29768902E8,0.6
경기도,안산시 상록구,1.3131758308E10,23.5,3.83806954E8,1.9
경기도,안산시 단원구,1.3131758308E10,23.5,5.54671179E8,2.7
경기도,고양시 덕양구,1.3131758308E10,23.5,7.00146799E8,3.4
경기도,고양시 일산동구,1.3131758308E10,23.5,6.41738798E8,3.1
경기도,고양시 일산서구,1.3131758308E10,23.5,4.72210838E8,2.3
경기도,과천시,1.3131758308E10,23.5,1.76088522E8,0.9
경기도,구리시,1.3131758308E10,23.5,4.37419253E8,2.1
경기도,남양주시,1.3131758308E10,23.5,9.58755138E8,4.7
경기도,오산시,1.3131758308E10,23.5,3.13448425E8,1.5
경기도,시흥시,1.3131758308E10,23.5,5.81625672E8,2.8
경기도,군포시,1.3131758308E10,23.5,3.74070432E8,1.8
경기도,의왕시,1.3131758308E10,23.5,2.35376885E8,1.1
경기도,하남시,1.3131758308E10,23.5,5.21477184E8,2.5
경기도,용인시 처인구,1.3131758308E10,23.5,4.56933836E8,2.2
경기도,용인시 기흥구,1.3131758308E10,23.5,6.54896175E8,3.2
경기도,용인시 수지구,1.3131758308E10,23.5,4.50266558E8,2.2
경기도,파주시,1.3131758308E10,23.5,6.09463768E8,3.0
경기도,이천시,1.3131758308E10,23.5,4.21065416E8,2.1
경기도,안성시,1.3131758308E10,23.5,3.53213241E8,1.7
경기도,김포시,1.3131758308E10,23.5,6.84713624E8,3.3
경기도,화성시,1.3131758308E10,23.5,1.124420181E9,5.5
경기도,광주시,1.3131758308E10,23.5,5.54948102E8,2.7
경기도,양주시,1.3131758308E10,23.5,3.38047667E8,1.6
경기도,포천시,1.3131758308E10,23.5,2.98185392E8,1.5
경기도,여주시,1.3131758308E10,23.5,2.49697855E8,1.2
경기도,연천군,1.3131758308E10,23.5,8.603051E7,0.4
경기도,가평군,1.3131758308E10,23.5,1.94772432E8,1.0
경기도,양평군,1.3131758308E10,23.5,2.70731171E8,1.3
경상남도,창원시 의창구,3.442778916E9,6.2,3.98385161E8,8.1
경상남도,창원시 성산구,3.442778916E9,6.2,3.92241515E8,7.9
경상남도,창원시 마산합포구,3.442778916E9,6.2,2.95942453E8,6.0
경상남도,창원시 마산회원구,3.442778916E9,6.2,2.64718263E8,5.4
경상남도,창원시 진해구,3.442778916E9,6.2,2.31034256E8,4.7
경상남도,진주시,3.442778916E9,6.2,4.16163913E8,8.4
경상남도,통영시,3.442778916E9,6.2,2.05315164E8,4.2
경상남도,사천시,3.442778916E9,6.2,1.76666461E8,3.6
경상남도,김해시,3.442778916E9,6.2,6.5921313E8,13.4
경상남도,밀양시,3.442778916E9,6.2,1.63875934E8,3.3
경상남도,거제시,3.442778916E9,6.2,4.97461593E8,10.1
경상남도,양산시,3.442778916E9,6.2,4.74291598E8,9.6
경상남도,의령군,3.442778916E9,6.2,4.4400524E7,0.9
경상남도,함안군,3.442778916E9,6.2,1.11431892E8,2.3
경상남도,창녕군,3.442778916E9,6.2,9.7475181E7,2.0
경상남도,고성군,3.442778916E9,6.2,8.7006086E7,1.8
경상남도,남해군,3.442778916E9,6.2,7.8844766E7,1.6
경상남도,하동군,3.442778916E9,6.2,6.2387961E7,1.3
경상남도,산청군,3.442778916E9,6.2,5.661407E7,1.1
경상남도,함양군,3.442778916E9,6.2,6.0790711E7,1.2
경상남도,거창군,3.442778916E9,6.2,9.097772E7,1.8
경상남도,합천군,3.442778916E9,6.2,7.0561042E7,1.4
경상북도,포항시 남구,3.215575329E9,5.8,3.56295816E8,8.7
경상북도,포항시 북구,3.215575329E9,5.8,4.21810334E8,10.3
경상북도,경주시,3.215575329E9,5.8,4.97388696E8,12.2
경상북도,김천시,3.215575329E9,5.8,1.87429737E8,4.6
경상북도,안동시,3.215575329E9,5.8,2.96858127E8,7.3
경상북도,구미시,3.215575329E9,5.8,4.85260365E8,11.9
경상북도,영주시,3.215575329E9,5.8,1.6219882E8,4.0
경상북도,영천시,3.215575329E9,5.8,1.40693299E8,3.4
경상북도,상주시,3.215575329E9,5.8,1.53052248E8,3.8
경상북도,문경시,3.215575329E9,5.8,1.09855859E8,2.7
경상북도,경산시,3.215575329E9,5.8,4.18049645E8,10.2
경상북도,의성군,3.215575329E9,5.8,7.8380397E7,1.9
경상북도,청송군,3.215575329E9,5.8,5.0501782E7,1.2
경상북도,영양군,3.215575329E9,5.8,2.2610863E7,0.6
경상북도,영덕군,3.215575329E9,5.8,8.7976455E7,2.2
경상북도,청도군,3.215575329E9,5.8,8.1268811E7,2.0
경상북도,고령군,3.215575329E9,5.8,5.1713789E7,1.3
경상북도,성주군,3.215575329E9,5.8,7.4394037E7,1.8
경상북도,칠곡군,3.215575329E9,5.8,1.70163612E8,4.2
경상북도,예천군,3.215575329E9,5.8,7.997901E7,2.0
경상북도,봉화군,3.215575329E9,5.8,4.2740631E7,1.0
경상북도,울진군,3.215575329E9,5.8,9.2061522E7,2.3
경상북도,울릉군,3.215575329E9,5.8,1.9319131E7,0.5
광주광역시,동구,1.598599499E9,2.9,2.77013432E8,11.9
광주광역시,서구,1.598599499E9,2.9,5.31863363E8,22.8
광주광역시,남구,1.598599499E9,2.9,2.73643929E8,11.7
광주광역시,북구,1.598599499E9,2.9,6.47950303E8,27.7
광주광역시,광산구,1.598599499E9,2.9,6.05025849E8,25.9
대구광역시,중구,2.565635882E9,4.6,4.27572237E8,10.7
대구광역시,동구,2.565635882E9,4.6,5.6192572E8,14.0
대구광역시,서구,2.565635882E9,4.6,2.17752504E8,5.4
대구광역시,남구,2.565635882E9,4.6,2.6112919E8,6.5
대구광역시,북구,2.565635882E9,4.6,6.756054E8,16.9
대구광역시,수성구,2.565635882E9,4.6,6.60939283E8,16.5
대구광역시,달서구,2.565635882E9,4.6,8.03827969E8,20.1
대구광역시,달성군,2.565635882E9,4.6,3.45866729E8,8.6
대구광역시,군위군,2.565635882E9,4.6,5.0552647E7,1.3
대전광역시,동구,1.657854017E9,3.0,3.51632601E8,14.5
대전광역시,중구,1.657854017E9,3.0,4.21521639E8,17.4
대전광역시,서구,1.657854017E9,3.0,7.41558728E8,30.6
대전광역시,유성구,1.657854017E9,3.0,6.39121821E8,26.4
대전광역시,대덕구,1.657854017E9,3.0,2.66686835E8,11.0
부산광역시,중구,3.145794438E9,5.6,2.49673163E8,4.5
부산광역시,서구,3.145794438E9,5.6,1.82908554E8,3.3
부산광역시,동구,3.145794438E9,5.6,2.19026081E8,4.0
부산광역시,영도구,3.145794438E9,5.6,1.81261181E8,3.3
부산광역시,부산진구,3.145794438E9,5.6,6.64194509E8,12.0
부산광역시,동래구,3.145794438E9,5.6,3.85380755E8,7.0
부산광역시,남구,3.145794438E9,5.6,3.84520607E8,6.9
부산광역시,북구,3.145794438E9,5.6,3.47727957E8,6.3
부산광역시,해운대구,3.145794438E9,5.6,7.19207011E8,13.0
부산광역시,사하구,3.145794438E9,5.6,3.55597581E8,6.4
부산광역시,금정구,3.145794438E9,5.6,3.54313887E8,6.4
부산광역시,강서구,3.145794438E9,5.6,2.7476003E8,5.0
부산광역시,연제구,3.145794438E9,5.6,2.7406134E8,5.0
부산광역시,수영구,3.145794438E9,5.6,3.23355618E8,5.8
부산광역시,사상구,3.145794438E9,5.6,2.95245593E8,5.3
